"DFU","Period","Demand","Opening.Inventories","Supply.Plan","Min.Stocks.Coverage","Max.Stocks.Coverage"
"Item 000001",2022-07-03,364,6570,0,4,8
"Item 000002",2022-07-03,1419,5509,0,4,6
"Item 000003",2022-07-03,265,2494,0,4,12
"Item 000004",2022-07-03,1296,7172,0,6,6
"Item 000005",2022-07-03,265,1464,0,4,12
"Item 000006",2022-07-03,1141,9954,0,6,6
"Item 000007",2022-07-03,126,2092,0,4,8
"Item 000008",2022-07-03,6859,17772,0,6,10
"Item 000009",2022-07-03,66,1222,0,4,12
"Item 000010",2022-07-03,380,3411,0,4,12
"Item 000011",2022-07-03,7,238,0,4,8
"Item 000012",2022-07-03,61,1471,0,4,12
"Item 000013",2022-07-03,1289,11942,0,6,10
"Item 000014",2022-07-03,667,1186,0,6,10
"Item 000015",2022-07-03,246,959,0,6,12
"Item 000016",2022-07-03,3466,3253,0,6,10
"Item 000017",2022-07-03,103,1125,0,4,12
"Item 000018",2022-07-03,625,1174,0,6,8
"Item 000019",2022-07-03,41,170,0,4,26
"Item 000020",2022-07-03,2331,3632,1585,6,10
"Item 000021",2022-07-03,181,2533,2079,4,12
"Item 000022",2022-07-03,73,452,0,6,12
"Item 000023",2022-07-03,768,1946,575,6,26
"Item 000024",2022-07-03,196,213,0,6,26
"Item 000025",2022-07-03,34,108,0,4,12
"Item 000026",2022-07-03,2772,6583,0,4,8
"Item 000027",2022-07-03,428,5220,0,4,8
"Item 000028",2022-07-03,1921,28046,0,6,10
"Item 000029",2022-07-03,610,1557,525,4,12
"Item 000030",2022-07-03,621,10176,0,4,12
"Item 000031",2022-07-03,919,8797,0,6,8
"Item 000032",2022-07-03,818,8874,0,6,8
"Item 000033",2022-07-03,982,9574,0,6,8
"Item 000034",2022-07-03,835,8188,0,6,8
"Item 000035",2022-07-03,978,9455,0,6,8
"Item 000036",2022-07-03,943,8990,0,6,8
"Item 000037",2022-07-03,667,8854,0,6,8
"Item 000038",2022-07-03,928,9059,0,6,8
"Item 000039",2022-07-03,514,7905,0,6,8
"Item 000040",2022-07-03,701,8682,0,6,8
"Item 000041",2022-07-03,891,9200,0,6,8
"Item 000042",2022-07-03,925,9765,0,6,8
"Item 000043",2022-07-03,888,8995,0,6,8
"Item 000044",2022-07-03,668,9221,0,6,8
"Item 000045",2022-07-03,737,9525,0,6,8
"Item 000046",2022-07-03,727,9354,0,6,8
"Item 000047",2022-07-03,809,9647,0,6,8
"Item 000048",2022-07-03,546,8214,0,6,8
"Item 000049",2022-07-03,818,8963,0,6,8
"Item 000050",2022-07-03,887,8527,0,6,8
"Item 000001",2022-07-10,364,0,0,4,8
"Item 000002",2022-07-10,1419,0,0,4,6
"Item 000003",2022-07-10,265,0,6733,4,12
"Item 000004",2022-07-10,1296,0,0,6,6
"Item 000005",2022-07-10,265,0,0,4,12
"Item 000006",2022-07-10,1141,0,0,6,6
"Item 000007",2022-07-10,126,0,0,4,8
"Item 000008",2022-07-10,6859,0,0,6,10
"Item 000009",2022-07-10,66,0,0,4,12
"Item 000010",2022-07-10,380,0,0,4,12
"Item 000011",2022-07-10,7,0,0,4,8
"Item 000012",2022-07-10,61,0,0,4,12
"Item 000013",2022-07-10,1289,0,0,6,10
"Item 000014",2022-07-10,667,0,0,6,10
"Item 000015",2022-07-10,246,0,0,6,12
"Item 000016",2022-07-10,3466,0,7280,6,10
"Item 000017",2022-07-10,103,0,784,4,12
"Item 000018",2022-07-10,625,0,3666,6,8
"Item 000019",2022-07-10,41,0,0,4,26
"Item 000020",2022-07-10,2331,0,0,6,10
"Item 000021",2022-07-10,322,0,0,4,12
"Item 000022",2022-07-10,73,0,0,6,12
"Item 000023",2022-07-10,768,0,0,6,26
"Item 000024",2022-07-10,196,0,0,6,26
"Item 000025",2022-07-10,34,0,0,4,12
"Item 000026",2022-07-10,2772,0,0,4,8
"Item 000027",2022-07-10,428,0,0,4,8
"Item 000028",2022-07-10,1921,0,0,6,10
"Item 000029",2022-07-10,890,0,0,4,12
"Item 000030",2022-07-10,847,0,0,4,12
"Item 000031",2022-07-10,641,0,0,6,8
"Item 000032",2022-07-10,887,0,0,6,8
"Item 000033",2022-07-10,976,0,0,6,8
"Item 000034",2022-07-10,850,0,0,6,8
"Item 000035",2022-07-10,604,0,0,6,8
"Item 000036",2022-07-10,709,0,10,6,8
"Item 000037",2022-07-10,579,0,0,6,8
"Item 000038",2022-07-10,636,0,0,6,8
"Item 000039",2022-07-10,984,0,0,6,8
"Item 000040",2022-07-10,938,0,0,6,8
"Item 000041",2022-07-10,634,0,0,6,8
"Item 000042",2022-07-10,855,0,0,6,8
"Item 000043",2022-07-10,799,0,0,6,8
"Item 000044",2022-07-10,970,0,0,6,8
"Item 000045",2022-07-10,902,0,0,6,8
"Item 000046",2022-07-10,654,0,0,6,8
"Item 000047",2022-07-10,575,0,0,6,8
"Item 000048",2022-07-10,567,0,0,6,8
"Item 000049",2022-07-10,767,0,0,6,8
"Item 000050",2022-07-10,929,0,0,6,8
"Item 000001",2022-07-17,364,0,0,4,8
"Item 000002",2022-07-17,1419,0,0,4,6
"Item 000003",2022-07-17,265,0,0,4,12
"Item 000004",2022-07-17,1296,0,0,6,6
"Item 000005",2022-07-17,265,0,0,4,12
"Item 000006",2022-07-17,1141,0,0,6,6
"Item 000007",2022-07-17,126,0,0,4,8
"Item 000008",2022-07-17,6859,0,12012,6,10
"Item 000009",2022-07-17,66,0,0,4,12
"Item 000010",2022-07-17,380,0,0,4,12
"Item 000011",2022-07-17,7,0,3072,4,8
"Item 000012",2022-07-17,61,0,1920,4,12
"Item 000013",2022-07-17,1289,0,7816,6,10
"Item 000014",2022-07-17,667,0,0,6,10
"Item 000015",2022-07-17,246,0,0,6,12
"Item 000016",2022-07-17,3466,0,0,6,10
"Item 000017",2022-07-17,103,0,0,4,12
"Item 000018",2022-07-17,625,0,0,6,8
"Item 000019",2022-07-17,41,0,0,4,26
"Item 000020",2022-07-17,2331,0,0,6,10
"Item 000021",2022-07-17,322,0,0,4,12
"Item 000022",2022-07-17,73,0,0,6,12
"Item 000023",2022-07-17,768,0,1,6,26
"Item 000024",2022-07-17,196,0,0,6,26
"Item 000025",2022-07-17,34,0,770,4,12
"Item 000026",2022-07-17,2772,0,5544,4,8
"Item 000027",2022-07-17,428,0,0,4,8
"Item 000028",2022-07-17,1921,0,0,6,10
"Item 000029",2022-07-17,996,0,0,4,12
"Item 000030",2022-07-17,897,0,0,4,12
"Item 000031",2022-07-17,832,0,0,6,8
"Item 000032",2022-07-17,944,0,0,6,8
"Item 000033",2022-07-17,554,0,0,6,8
"Item 000034",2022-07-17,620,0,0,6,8
"Item 000035",2022-07-17,711,0,0,6,8
"Item 000036",2022-07-17,528,0,0,6,8
"Item 000037",2022-07-17,981,0,0,6,8
"Item 000038",2022-07-17,571,0,0,6,8
"Item 000039",2022-07-17,515,0,0,6,8
"Item 000040",2022-07-17,960,0,0,6,8
"Item 000041",2022-07-17,888,0,0,6,8
"Item 000042",2022-07-17,930,0,0,6,8
"Item 000043",2022-07-17,971,0,0,6,8
"Item 000044",2022-07-17,636,0,0,6,8
"Item 000045",2022-07-17,939,0,0,6,8
"Item 000046",2022-07-17,934,0,0,6,8
"Item 000047",2022-07-17,622,0,0,6,8
"Item 000048",2022-07-17,629,0,0,6,8
"Item 000049",2022-07-17,995,0,0,6,8
"Item 000050",2022-07-17,519,0,0,6,8
"Item 000001",2022-07-24,260,0,0,4,8
"Item 000002",2022-07-24,1014,0,10367,4,6
"Item 000003",2022-07-24,189,0,0,4,12
"Item 000004",2022-07-24,926,0,0,6,6
"Item 000005",2022-07-24,189,0,0,4,12
"Item 000006",2022-07-24,815,0,7980,6,6
"Item 000007",2022-07-24,90,0,2593,4,8
"Item 000008",2022-07-24,4900,0,0,6,10
"Item 000009",2022-07-24,48,0,0,4,12
"Item 000010",2022-07-24,272,0,0,4,12
"Item 000011",2022-07-24,5,0,0,4,8
"Item 000012",2022-07-24,43,0,0,4,12
"Item 000013",2022-07-24,921,0,0,6,10
"Item 000014",2022-07-24,476,0,0,6,10
"Item 000015",2022-07-24,176,0,0,6,12
"Item 000016",2022-07-24,2476,0,12656,6,10
"Item 000017",2022-07-24,74,0,0,4,12
"Item 000018",2022-07-24,447,0,0,6,8
"Item 000019",2022-07-24,29,0,0,4,26
"Item 000020",2022-07-24,1665,0,0,6,10
"Item 000021",2022-07-24,322,0,0,4,12
"Item 000022",2022-07-24,52,0,0,6,12
"Item 000023",2022-07-24,549,0,0,6,26
"Item 000024",2022-07-24,140,0,0,6,26
"Item 000025",2022-07-24,24,0,0,4,12
"Item 000026",2022-07-24,1980,0,0,4,8
"Item 000027",2022-07-24,367,0,0,4,8
"Item 000028",2022-07-24,1647,0,0,6,10
"Item 000029",2022-07-24,960,0,0,4,12
"Item 000030",2022-07-24,968,0,0,4,12
"Item 000031",2022-07-24,813,0,0,6,8
"Item 000032",2022-07-24,931,0,0,6,8
"Item 000033",2022-07-24,618,0,0,6,8
"Item 000034",2022-07-24,788,0,0,6,8
"Item 000035",2022-07-24,759,0,0,6,8
"Item 000036",2022-07-24,665,0,0,6,8
"Item 000037",2022-07-24,685,0,0,6,8
"Item 000038",2022-07-24,640,0,0,6,8
"Item 000039",2022-07-24,560,0,0,6,8
"Item 000040",2022-07-24,618,0,0,6,8
"Item 000041",2022-07-24,800,0,0,6,8
"Item 000042",2022-07-24,547,0,0,6,8
"Item 000043",2022-07-24,556,0,0,6,8
"Item 000044",2022-07-24,732,0,0,6,8
"Item 000045",2022-07-24,863,0,0,6,8
"Item 000046",2022-07-24,785,0,0,6,8
"Item 000047",2022-07-24,999,0,0,6,8
"Item 000048",2022-07-24,559,0,0,6,8
"Item 000049",2022-07-24,688,0,0,6,8
"Item 000050",2022-07-24,864,0,0,6,8
"Item 000001",2022-07-31,736,0,0,4,8
"Item 000002",2022-07-31,721,0,0,4,6
"Item 000003",2022-07-31,29,0,0,4,12
"Item 000004",2022-07-31,678,0,0,6,6
"Item 000005",2022-07-31,59,0,0,4,12
"Item 000006",2022-07-31,1466,0,0,6,6
"Item 000007",2022-07-31,325,0,0,4,8
"Item 000008",2022-07-31,1358,0,10000,6,10
"Item 000009",2022-07-31,85,0,0,4,12
"Item 000010",2022-07-31,169,0,0,4,12
"Item 000011",2022-07-31,364,0,0,4,8
"Item 000012",2022-07-31,142,0,0,4,12
"Item 000013",2022-07-31,1040,0,0,6,10
"Item 000014",2022-07-31,53,0,0,6,10
"Item 000015",2022-07-31,82,0,0,6,12
"Item 000016",2022-07-31,1990,0,8594,6,10
"Item 000017",2022-07-31,89,0,0,4,12
"Item 000018",2022-07-31,306,0,0,6,8
"Item 000019",2022-07-31,62,0,0,4,26
"Item 000020",2022-07-31,892,0,0,6,10
"Item 000021",2022-07-31,255,0,0,4,12
"Item 000022",2022-07-31,138,0,0,6,12
"Item 000023",2022-07-31,141,0,0,6,26
"Item 000024",2022-07-31,101,0,840,6,26
"Item 000025",2022-07-31,91,0,0,4,12
"Item 000026",2022-07-31,839,0,2904,4,8
"Item 000027",2022-07-31,428,0,0,4,8
"Item 000028",2022-07-31,2026,0,0,6,10
"Item 000029",2022-07-31,797,0,0,4,12
"Item 000030",2022-07-31,917,0,0,4,12
"Item 000031",2022-07-31,653,0,0,6,8
"Item 000032",2022-07-31,867,0,0,6,8
"Item 000033",2022-07-31,791,0,0,6,8
"Item 000034",2022-07-31,510,0,0,6,8
"Item 000035",2022-07-31,509,0,0,6,8
"Item 000036",2022-07-31,636,0,0,6,8
"Item 000037",2022-07-31,814,0,0,6,8
"Item 000038",2022-07-31,586,0,0,6,8
"Item 000039",2022-07-31,686,0,0,6,8
"Item 000040",2022-07-31,885,0,0,6,8
"Item 000041",2022-07-31,675,0,0,6,8
"Item 000042",2022-07-31,776,0,0,6,8
"Item 000043",2022-07-31,827,0,0,6,8
"Item 000044",2022-07-31,655,0,0,6,8
"Item 000045",2022-07-31,890,0,0,6,8
"Item 000046",2022-07-31,993,0,0,6,8
"Item 000047",2022-07-31,901,0,0,6,8
"Item 000048",2022-07-31,503,0,0,6,8
"Item 000049",2022-07-31,552,0,0,6,8
"Item 000050",2022-07-31,697,0,0,6,8
"Item 000001",2022-08-07,859,0,0,4,8
"Item 000002",2022-08-07,841,0,0,4,6
"Item 000003",2022-08-07,34,0,0,4,12
"Item 000004",2022-08-07,791,0,0,6,6
"Item 000005",2022-08-07,69,0,0,4,12
"Item 000006",2022-08-07,1711,0,0,6,6
"Item 000007",2022-08-07,379,0,0,4,8
"Item 000008",2022-08-07,1585,0,0,6,10
"Item 000009",2022-08-07,100,0,0,4,12
"Item 000010",2022-08-07,197,0,600,4,12
"Item 000011",2022-08-07,424,0,0,4,8
"Item 000012",2022-08-07,166,0,0,4,12
"Item 000013",2022-08-07,1213,0,0,6,10
"Item 000014",2022-08-07,62,0,0,6,10
"Item 000015",2022-08-07,53,0,0,6,12
"Item 000016",2022-08-07,2322,0,0,6,10
"Item 000017",2022-08-07,104,0,0,4,12
"Item 000018",2022-08-07,357,0,0,6,8
"Item 000019",2022-08-07,63,0,0,4,26
"Item 000020",2022-08-07,1040,0,8811,6,10
"Item 000021",2022-08-07,298,0,0,4,12
"Item 000022",2022-08-07,161,0,0,6,12
"Item 000023",2022-08-07,165,0,0,6,26
"Item 000024",2022-08-07,117,0,0,6,26
"Item 000025",2022-08-07,107,0,0,4,12
"Item 000026",2022-08-07,979,0,0,4,8
"Item 000027",2022-08-07,599,0,0,4,8
"Item 000028",2022-08-07,2836,0,0,6,10
"Item 000029",2022-08-07,510,0,0,4,12
"Item 000030",2022-08-07,872,0,0,4,12
"Item 000031",2022-08-07,747,0,0,6,8
"Item 000032",2022-08-07,675,0,0,6,8
"Item 000033",2022-08-07,918,0,0,6,8
"Item 000034",2022-08-07,738,0,0,6,8
"Item 000035",2022-08-07,956,0,0,6,8
"Item 000036",2022-08-07,554,0,0,6,8
"Item 000037",2022-08-07,590,0,0,6,8
"Item 000038",2022-08-07,987,0,0,6,8
"Item 000039",2022-08-07,609,0,0,6,8
"Item 000040",2022-08-07,501,0,0,6,8
"Item 000041",2022-08-07,811,0,0,6,8
"Item 000042",2022-08-07,664,0,0,6,8
"Item 000043",2022-08-07,595,0,0,6,8
"Item 000044",2022-08-07,902,0,0,6,8
"Item 000045",2022-08-07,774,0,0,6,8
"Item 000046",2022-08-07,545,0,0,6,8
"Item 000047",2022-08-07,751,0,0,6,8
"Item 000048",2022-08-07,526,0,0,6,8
"Item 000049",2022-08-07,665,0,0,6,8
"Item 000050",2022-08-07,582,0,0,6,8
"Item 000001",2022-08-14,859,0,0,4,8
"Item 000002",2022-08-14,841,0,0,4,6
"Item 000003",2022-08-14,34,0,0,4,12
"Item 000004",2022-08-14,791,0,0,6,6
"Item 000005",2022-08-14,69,0,0,4,12
"Item 000006",2022-08-14,1711,0,0,6,6
"Item 000007",2022-08-14,379,0,0,4,8
"Item 000008",2022-08-14,1585,0,0,6,10
"Item 000009",2022-08-14,100,0,0,4,12
"Item 000010",2022-08-14,197,0,0,4,12
"Item 000011",2022-08-14,424,0,1344,4,8
"Item 000012",2022-08-14,166,0,0,4,12
"Item 000013",2022-08-14,1213,0,4928,6,10
"Item 000014",2022-08-14,62,0,0,6,10
"Item 000015",2022-08-14,97,0,0,6,12
"Item 000016",2022-08-14,2322,0,0,6,10
"Item 000017",2022-08-14,104,0,0,4,12
"Item 000018",2022-08-14,357,0,0,6,8
"Item 000019",2022-08-14,82,0,0,4,26
"Item 000020",2022-08-14,1040,0,0,6,10
"Item 000021",2022-08-14,298,0,0,4,12
"Item 000022",2022-08-14,161,0,0,6,12
"Item 000023",2022-08-14,165,0,0,6,26
"Item 000024",2022-08-14,117,0,0,6,26
"Item 000025",2022-08-14,107,0,0,4,12
